subindex,time,rssi,noise,nrx,ntx,lat,lon,node,role,pos,power,rate,size,distance
0,1900-01-01 13:59:06.366866730,,,,1.0,40.790465,-8.674706,1,tx,2,10,2400,32,296.6879706958087
1,1900-01-01 13:59:06.700910656,,,,4.0,40.790465,-8.674706,1,tx,2,10,2400,32,296.6879706958087
2,1900-01-01 13:59:06.304294710,,,,5.0,40.790465,-8.674706,1,tx,2,10,2400,32,296.6879706958087
3,1900-01-01 13:59:07.359940211,,,,6.0,40.790465,-8.674706,1,tx,2,10,2400,32,296.6879706958087
4,1900-01-01 13:59:07.689526396,,,,7.0,40.790465,-8.674706,1,tx,2,10,2400,32,296.6879706958087
5,1900-01-01 13:59:07.190109890,,,,8.0,40.790465,-8.674706,1,tx,2,10,2400,32,296.6879706958087
6,1900-01-01 13:59:08.348435248,,,,9.0,40.790465,-8.674706,1,tx,2,10,2400,32,296.6879706958087
7,1900-01-01 13:59:08.677976729,,,,10.0,40.790465,-8.674706,1,tx,2,10,2400,32,296.6879706958087
8,1900-01-01 13:59:08.749000600,,,,11.0,40.790465,-8.674706,1,tx,2,10,2400,32,296.6879706958087
9,1900-01-01 13:59:09.336996432,,,,12.0,40.790465,-8.674706,1,tx,2,10,2400,32,296.6879706958087
10,1900-01-01 13:59:09.666437488,,,,13.0,40.790465,-8.674706,1,tx,2,10,2400,32,296.6879706958087
11,1900-01-01 13:59:09.995975895,,,,14.0,40.790465,-8.674706,1,tx,2,10,2400,32,296.6879706958087
12,1900-01-01 13:59:10.325506469,,,,15.0,40.790465,-8.674706,1,tx,2,10,2400,32,296.6879706958087
13,1900-01-01 13:59:10.654961320,,,,16.0,40.790465,-8.674706,1,tx,2,10,2400,32,296.6879706958087
14,1900-01-01 13:59:10.984453320,,,,17.0,40.790465,-8.674706,1,tx,2,10,2400,32,296.6879706958087
15,1900-01-01 13:59:11.313980172,,,,18.0,40.790465,-8.674706,1,tx,2,10,2400,32,296.6879706958087
16,1900-01-01 13:59:11.643442949,,,,19.0,40.790465,-8.674706,1,tx,2,10,2400,32,296.6879706958087
17,1900-01-01 13:59:11.973019394,,,,20.0,40.790465,-8.674706,1,tx,2,10,2400,32,296.6879706958087
18,1900-01-01 13:59:12.302473560,,,,21.0,40.790465,-8.674706,1,tx,2,10,2400,32,296.6879706958087
19,1900-01-01 13:59:12.632054782,,,,22.0,40.790465,-8.674706,1,tx,2,10,2400,32,296.6879706958087
20,1900-01-01 13:59:12.961498134,,,,23.0,40.790465,-8.674706,1,tx,2,10,2400,32,296.6879706958087
21,1900-01-01 13:59:13.290958893,,,,24.0,40.790465,-8.674706,1,tx,2,10,2400,32,296.6879706958087
22,1900-01-01 13:59:13.620473485,,,,25.0,40.790465,-8.674706,1,tx,2,10,2400,32,296.6879706958087
23,1900-01-01 13:59:13.949986337,,,,26.0,40.790465,-8.674706,1,tx,2,10,2400,32,296.6879706958087
24,1900-01-01 13:59:14.279429281,,,,27.0,40.790465,-8.674706,1,tx,2,10,2400,32,296.6879706958087
25,1900-01-01 13:59:14.608919577,,,,28.0,40.790465,-8.674706,1,tx,2,10,2400,32,296.6879706958087
26,1900-01-01 13:59:14.938399336,,,,29.0,40.790465,-8.674706,1,tx,2,10,2400,32,296.6879706958087
27,1900-01-01 13:59:15.267998540,,,,30.0,40.790465,-8.674706,1,tx,2,10,2400,32,296.6879706958087
28,1900-01-01 13:59:15.597438947,,,,31.0,40.790465,-8.674706,1,tx,2,10,2400,32,296.6879706958087
29,1900-01-01 13:59:15.926916206,,,,32.0,40.790465,-8.674706,1,tx,2,10,2400,32,296.6879706958087
30,1900-01-01 13:59:16.256383873,,,,33.0,40.790465,-8.674706,1,tx,2,10,2400,32,296.6879706958087
31,1900-01-01 13:59:16.585930687,,,,34.0,40.790465,-8.674706,1,tx,2,10,2400,32,296.6879706958087
32,1900-01-01 13:59:16.915351539,,,,35.0,40.790465,-8.674706,1,tx,2,10,2400,32,296.6879706958087
33,1900-01-01 13:59:17.244883113,,,,36.0,40.790465,-8.674706,1,tx,2,10,2400,32,296.6879706958087
34,1900-01-01 13:59:17.574371001,,,,37.0,40.790465,-8.674706,1,tx,2,10,2400,32,296.6879706958087
35,1900-01-01 13:59:17.903798094,,,,38.0,40.790465,-8.674706,1,tx,2,10,2400,32,296.6879706958087
36,1900-01-01 13:59:18.233372131,,,,39.0,40.790465,-8.674706,1,tx,2,10,2400,32,296.6879706958087
