subindex,time,rssi,noise,nrx,ntx,lat,lon,node,role,pos,power,rate,size,distance
0,1900-01-01 13:34:26.928673900,,,,1.0,40.780168,-8.680668,1,tx,1,10,4800,32,1221.9149317463325
1,1900-01-01 13:34:27.219273112,,,,4.0,40.780168,-8.680668,1,tx,1,10,4800,32,1221.9149317463325
2,1900-01-01 13:34:27.341190741,,,,5.0,40.780168,-8.680668,1,tx,1,10,4800,32,1221.9149317463325
3,1900-01-01 13:34:27.463096704,,,,6.0,40.780168,-8.680668,1,tx,1,10,4800,32,1221.9149317463325
4,1900-01-01 13:34:27.584937889,,,,7.0,40.780168,-8.680668,1,tx,1,10,4800,32,1221.9149317463325
5,1900-01-01 13:34:27.706800204,,,,8.0,40.780168,-8.680668,1,tx,1,10,4800,32,1221.9149317463325
6,1900-01-01 13:34:27.828710926,,,,9.0,40.780168,-8.680668,1,tx,1,10,4800,32,1221.9149317463325
7,1900-01-01 13:34:27.950596241,,,,10.0,40.780168,-8.680668,1,tx,1,10,4800,32,1221.9149317463325
8,1900-01-01 13:34:27.724139080,,,,11.0,40.780168,-8.680668,1,tx,1,10,4800,32,1221.9149317463325
9,1900-01-01 13:34:28.194315722,,,,12.0,40.780168,-8.680668,1,tx,1,10,4800,32,1221.9149317463325
10,1900-01-01 13:34:28.316168889,,,,13.0,40.780168,-8.680668,1,tx,1,10,4800,32,1221.9149317463325
11,1900-01-01 13:34:28.438007407,,,,14.0,40.780168,-8.680668,1,tx,1,10,4800,32,1221.9149317463325
12,1900-01-01 13:34:28.559870685,,,,15.0,40.780168,-8.680668,1,tx,1,10,4800,32,1221.9149317463325
13,1900-01-01 13:34:28.681791278,,,,16.0,40.780168,-8.680668,1,tx,1,10,4800,32,1221.9149317463325
14,1900-01-01 13:34:28.803668000,,,,17.0,40.780168,-8.680668,1,tx,1,10,4800,32,1221.9149317463325
15,1900-01-01 13:34:28.925543166,,,,18.0,40.780168,-8.680668,1,tx,1,10,4800,32,1221.9149317463325
